,UnitID,Institution Name
1256,455433,The Chicago School of Professional Psychology at Anaheim
1257,143978,The Chicago School of Professional Psychology at Chicago
1258,455664,The Chicago School of Professional Psychology at Los Angeles
1259,491190,The Chicago School of Professional Psychology at San Diego
1260,459745,The Chicago School of Professional Psychology at Washington DC
1261,487153,The Chicago School of Professional Psychology at Xavier University of Louisiana
1267,191320,The General Theological Seminary
1268,146241,The John Marshall Law School
1275,475228,The Santa Barbara and Ventura Colleges of Law at Santa Barbara
1276,125037,The Santa Barbara and Ventura Colleges of Law at Ventura
1277,104665,The School of Architecture
1278,441131,The Seattle School of Theology & Psychology
1280,475237,The University of America
1285,126012,The Wright Institute
1286,216348,Theological Seminary of the Reformed Episcopal Church
1290,126049,Thomas Jefferson School of Law
1291,216366,Thomas Jefferson University
1300,459736,Touro University California
1301,459824,Touro University Nevada
1303,445054,Toyota Technological Institute at Chicago
1314,146755,Trinity College of Nursing & Health Sciences
1315,216463,Trinity Episcopal School for Ministry
1316,135610,Trinity International University-Florida
1318,123448,Trinity Law School
1328,246789,Unification Theological Seminary
1329,491525,Union Bible College
1334,233842,Union Presbyterian Seminary
1335,196884,Union Theological Seminary in the City of New York
1337,213631,United Lutheran Seminary
1338,102395,United States Sports Academy
1340,206288,United Theological Seminary
1341,175139,United Theological Seminary of the Twin Cities
1353,457402,University of Fort Lauderdale
1378,122603,University of Redlands Graduate School of Theology
1384,488785,University of Saint Katherine
1386,148885,University of Saint Mary of the Lake
1404,210438,University of Western States
1406,440004,Upper Valley Educators Institute
1407,455099,Urshan Graduate School of Theology
1418,455992,Vermont College of Fine Arts
1419,231147,Vermont Law School
1422,449834,Virginia Beach Theological Seminary
1424,490106,Virginia University of Integrative Medicine
1430,446613,W L Bonner College
1435,172608,Walsh College
1438,480198,Warner Pacific University Professional and Graduate Studies
1442,154536,Wartburg Theological Seminary
1454,190424,Weill Medical College of Cornell University
1459,176451,Wesley Biblical Seminary
1461,131973,Wesley Theological Seminary
1464,237905,West Virginia University Hospital Departments of Rad Tech and Nutrition
1466,490373,Western Michigan University Homer Stryker M.D. School of Medicine
1467,172477,Western Michigan University-Thomas M. Cooley Law School
1469,210368,Western Seminary
1470,172705,Western Theological Seminary
1471,112525,Western University of Health Sciences
1475,216816,Westminster Theological Seminary
1476,125718,Westminster Theological Seminary in California
1484,475200,Whitworth University-Adult Degree Programs
1491,166717,William James College
1503,206516,Winebrenner Theological Seminary
1506,240213,Wisconsin School of Professional Psychology
1509,491631,Women's Institute of Torah Seminary and College
1510,442064,Won Institute of Graduate Studies
1511,488907,Wongu University of Oriental Medicine
1515,486460,Wright Graduate University for the Realization of Human Potential
1519,490319,Yeshiva Bais Aharon
1520,491622,Yeshiva Chemdas Hatorah
1521,434937,Yeshiva College of the Nations Capital
1524,491914,Yeshiva Gedola Tiferes Yerachmiel
1526,491640,Yeshiva Gedolah Keren Hatorah
1527,481410,Yeshiva Gedolah Kesser Torah
1528,491710,Yeshiva Gedolah of Cliffwood
1530,488350,Yeshiva Gedolah Shaarei Shmuel
1531,491613,Yeshiva Gedolah Tiferes Boruch
1532,476692,Yeshiva Gedolah Zichron Leyma
1534,491057,Yeshiva Kollel Tifereth Elizer
1535,190752,Yeshiva of Far Rockaway Derech Ayson Rabbinical Seminary
1540,490504,Yeshiva Ohr Naftoli
1541,486017,Yeshiva Ohr Yisrael
1542,490276,Yeshiva Shaar Ephraim
1544,441609,Yeshiva Shaarei Torah of Rockland
1545,486026,Yeshiva Sholom Shachna
