UnitID,Institution Name,Published in-state tuition and fees 2019-20 (IC2019_AY),Published in-state tuition and fees 2018-19 (IC2018_AY),Published in-state tuition and fees 2017-18 (IC2017_AY),Published in-state tuition and fees 2016-17 (IC2016_AY),Published in-state tuition and fees 2015-16 (IC2015_AY),Published in-state tuition and fees 2014-15 (IC2014_AY),Published in-state tuition and fees 2013-14 (IC2013_AY),Published in-state tuition and fees 2012-13 (IC2012_AY),
110361,California Baptist University,34882,33478,32256,31372,30384,29422,28122,26900,
110918,California Christian College,9810,9570,9330,8990,8750,8540,8275,8645,
110370,California College of the Arts,51092,49138,47266,45466,43708,41942,40334,38798,
110316,California Institute of Integral Studies,,,,,,,,,
110404,California Institute of Technology,54600,52362,49908,47577,45390,43362,41538,39588,
111081,California Institute of the Arts,51466,49276,47446,45646,43986,42260,40536,39014,
110413,California Lutheran University,44382,42692,41363,39793,38430,37140,35720,34360,
460075,California University of Management and Sciences,6330,6540,9570,9570,9570,8850,10745,,
111391,California Western School of Law,,,,,,,,,
150172,Calumet College of Saint Joseph,19670,19170,17920,17570,17000,16405,15620,14880,
211370,Calvary Baptist Theological Seminary,,,,,,,,,
176789,Calvary University,11164,11164,11152,11700,11320,10600,10816,10756,
169099,Calvin Theological Seminary,,,,,,,,,
169080,Calvin University,36300,34600,33100,31730,30660,29635,28250,26705,
165167,Cambridge College,16164,15588,14940,14436,14004,13608,13392,13240,
198136,Campbell University,34630,32500,31190,30050,28820,27530,26240,25000,
156365,Campbellsville University,25400,25400,25400,24596,23828,22842,22196,21600,
189705,Canisius College,29428,28488,36454,35424,34690,34000,33332,32030,
201548,Capital University,36872,35466,34600,33492,32830,32190,31990,31364,
162061,Capitol Technology University,26308,25540,24788,24272,23508,22896,22296,21696,
238430,Cardinal Stritch University,31798,29998,28844,28212,27540,26570,25450,24330,
173258,Carleton College,57111,54759,52782,50874,49263,47736,46167,44445,
211431,Carlow University,30528,29454,28596,27764,26832,26178,25416,24438,
211440,Carnegie Mellon University,57119,55465,53910,52310,50665,49022,47642,45760,
199971,Carolina Christian College,8890,8800,8800,4075,4025,4025,4025,4150,
461032,Carolina College of Biblical Studies,5300,6320,6253,5325,4941,4725,4725,5160,
180106,Carroll College,36280,35486,34480,33192,30754,29280,27914,26554,
238458,Carroll University,32850,31918,31144,30388,29535,28550,27724,26475,
219806,Carson-Newman University,28900,27900,27400,26360,25360,24460,23696,22652,
238476,Carthage College,45100,43550,41950,40265,38375,36570,34850,33000,
139287,Carver Bible College,,13100,12685,10460,9860,9260,8325,8060,
201645,Case Western Reserve University,50924,49042,47500,46006,44560,43158,41800,40490,
198215,Catawba College,30520,30520,29920,29333,28730,27360,26820,26040,
218089,Cathedral Bible College,,,,,,2900,2600,2600,
143659,Catholic Theological Union at Chicago,,,,,,,,,
189848,Cazenovia College,35634,34630,33656,32674,31754,30560,29410,28022,
211468,Cedar Crest College,40374,39216,38092,36825,35600,34504,33000,31596,
201654,Cedarville University,31322,30270,29156,28110,27206,26420,26420,25496,
158477,Centenary College of Louisiana,37310,36580,35900,35430,33900,33500,30740,29500,
183974,Centenary University,33492,32998,32580,32098,31754,30942,30540,29630,
106713,Central Baptist College,16650,16200,15750,15000,14400,13800,13350,12530,
154837,Central Baptist Theological Seminary,,,,9140,9140,9140,6980,6780,
176938,Central Bible College,,,,,,,,12412,
154855,Central Christian College of Kansas,20450,20350,17240,16850,14501,16204,14800,19050,
176910,Central Christian College of the Bible,13900,13900,13900,13700,11900,11700,13800,13300,
153108,Central College,38600,37296,35930,34612,33345,32124,30700,29540,
445267,Central Methodist University-College of Graduate and Extended Studies,6550,5760,5760,5400,5280,,,,
176947,Central Methodist University-College of Liberal Arts and Sciences,25070,24420,23770,23010,22360,21830,21320,20720,
189857,Central Yeshiva Tomchei Tmimim Lubavitz,7700,7700,7700,6700,6700,6700,6700,6700,
156408,Centre College,43000,41700,40500,39300,38200,37100,36020,35000,
141486,Chaminade University of Honolulu,26134,25374,24514,23310,21780,20940,20090,19330,
230852,Champlain College,41828,41010,39818,38660,37536,33000,31350,29865,
111948,Chapman University,54924,52724,50594,48710,47260,45393,43573,42084,
111966,Charles R Drew University of Medicine and Science,13972,13972,13972,13444,,12436,11956,9957,
217688,Charleston Southern University,26000,25540,24840,24140,23440,22840,22090,21440,
444778,Charlotte Christian College and Theological Seminary,10670,10368,10070,9680,9320,8764,8380,7950,
211556,Chatham University,38738,37611,36510,35475,34440,33428,32454,31532,
183345,Chester College of New England,,,,,,,,,
211583,Chestnut Hill College,37200,36180,35180,34140,33130,32110,31170,30165,
144014,Chicago Theological Seminary,,,,,,,,,
198303,Chowan University,25480,24980,24480,23930,23400,22900,22510,21950,
189981,Christ the King Seminary,,,,,,,,,
219833,Christian Brothers University,33840,32820,31870,30860,30166,29190,28210,27290,
260947,Christian Life College,,,3900,11000,11000,11000,11070,10590,
