UnitID,Institution Name,Value of endowment assets at the end of the fiscal year (F1819_F2_RV),Value of endowment assets at the end of the fiscal year (F1718_F2_RV),Value of endowment assets at the end of the fiscal year (F1617_F2_RV),Value of endowment assets at the end of the fiscal year (F1516_F2_RV),Value of endowment assets at the end of the fiscal year (F1415_F2_RV),Value of endowment assets at the end of the fiscal year (F1314_F2_RV),Value of endowment assets at the end of the fiscal year (F1213_F2_RV),Value of endowment assets at the end of the fiscal year (F1112_F2_RV),
198215,Catawba College,68022000,71597000,61876000,56557000,56818000,53348000,48306699,43169534,
218089,Cathedral Bible College,,,,,,,,,
143659,Catholic Theological Union at Chicago,24091042,24472785,22325027,19964156,22584728,23174773,21547879,19700539,
189848,Cazenovia College,4013265,7668092,7822683,29716892,31256176,32207229,28825838,26370527,
211468,Cedar Crest College,32637991,30623441,31961793,27765254,26687946,25979759,20960619,18940331,
201654,Cedarville University,35433765,30757502,29310271,26229258,26812368,27074941,23813773,19792475,
158477,Centenary College of Louisiana,133109778,132439561,131640857,122482267,138582054,137343822,122941829,119907825,
183974,Centenary University,12587461,13852131,12242600,10727935,10603215,10479011,,2828897,
106713,Central Baptist College,3378294,3263192,3219881,2592742,2764070,2736455,2515648,2097925,
154837,Central Baptist Theological Seminary,,,,,,3043814,,,
176938,Central Bible College,,,,,,,,5872510,
154855,Central Christian College of Kansas,6733127,6469546,6139342,5964810,5427575,5549240,7079088,7742275,
176910,Central Christian College of the Bible,1419145,1388811,1139074,1064484,1052995,993400,938180,793418,
153108,Central College,79746593,81011253,76453480,71347418,78540803,79887626,71067325,68072250,
445267,Central Methodist University-College of Graduate and Extended Studies,,,,,,,,,
176947,Central Methodist University-College of Liberal Arts and Sciences,51664000,50099282,48347000,35376000,35787000,37020000,32813000,30372000,
189857,Central Yeshiva Tomchei Tmimim Lubavitz,,,,,,,,,
156408,Centre College,330599920,323609355,314331271,273857968,285886308,267165187,231243960,207316357,
141486,Chaminade University of Honolulu,23398930,21867766,20828684,19079520,14081144,13642624,11253340,10163644,
230852,Champlain College,25009249,24297680,21130159,17414489,16244196,14613080,11080417,10327057,
111948,Chapman University,406306000,394071000,352616000,301524000,301272000,273823000,229506000,188070000,
111966,Charles R Drew University of Medicine and Science,94266000,95108400,89987100,81155000,83034400,76672000,61873500,51327300,
217688,Charleston Southern University,19391285,19630648,18162991,16495279,17124053,16932877,15097745,13462376,
444778,Charlotte Christian College and Theological Seminary,,,,,,,,,
211556,Chatham University,81633866,80481915,77680284,74972477,83921042,84726717,63349605,58867206,
183345,Chester College of New England,,,,,,,,,
211583,Chestnut Hill College,9471124,9363719,9429275,9119039,9284436,8692133,7348337,6025158,
144014,Chicago Theological Seminary,22352342,22748020,22841842,22947692,23489246,21828360,22830880,22397018,
198303,Chowan University,26183183,26068253,26085049,24284721,25099979,25039057,23893208,21629445,
189981,Christ the King Seminary,4151869,4431129,4307356,4112402,4834401,4325555,4125726,3734309,
219833,Christian Brothers University,41245705,41934871,38590347,33687067,33303938,31704414,29399672,26877561,
260947,Christian Life College,,,,,,,,,
150215,Christian Theological Seminary,119811635,117579121,99656311,94191970,104316528,109495728,97605305,95150157,
112127,Church Divinity School of the Pacific,23103398,16243201,16022701,15499223,16397816,17562428,17275621,16424188,
201858,Cincinnati Christian University,,4261563,4249753,4182320,4135935,4702042,4534809,4239939,
201867,Cincinnati College of Mortuary Science,603823,572284,571029,528438,534539,491934,508303,491659,
244233,City College-Fort Lauderdale,,,,,,,61246,49119,
406547,City College-Gainesville,,,,,,,,,
434539,City College-Miami,,,,,,,,,
234915,City University of Seattle,4508270,4309866,3934416,,,,,,
457697,City Vision University,,,,,,,,,
217873,Claflin University,28619305,27606014,26003205,24597296,25295126,24759035,21707470,18955616,
112251,Claremont Graduate University,186766435,187747289,184099823,171047627,187162804,190098597,171759196,161506075,
112260,Claremont McKenna College,865475000,835306000,784363000,709106000,733871000,699493000,599147000,520583000,
124283,Claremont School of Theology,10125147,10925725,11794965,15033254,17738400,11218611,13619517,17795965,
138947,Clark Atlanta University,72500748,71438808,68523694,62217637,66542152,66719772,57780875,53707533,
165334,Clark University,417571573,436869339,408808149,369079797,403722249,392091757,354873812,299286426,
153126,Clarke University,26522267,27594783,26910533,24259677,31302936,32895989,31436877,29994218,
211024,Clarks Summit University,2146096,2140396,2131096,2158937,2109237,2100737,2089537,2079937,
180832,Clarkson College,5139496,4469272,3631019,2750010,2278455,2142532,1830835,1661659,
190044,Clarkson University,201698464,198326348,191141142,177099281,186140355,192917861,169437868,161642720,
156417,Clear Creek Baptist Bible College,21478317,21360185,20621427,17099861,17946856,16447210,14605642,13637488,
133085,Clearwater Christian College,,,,,,1104379,879463,709796,
169327,Cleary University,1361271,1332671,1288860,1235878,1121679,1082005,1060434,998704,
202046,Cleveland Institute of Art,27496382,27900243,27488482,25341436,27078601,27928585,25629525,24252472,
202073,Cleveland Institute of Music,42590108,42360636,40400458,36440042,38728399,38414130,37446675,33777956,
177038,Cleveland University-Kansas City,18759380,20598288,21779202,20285871,18778887,19943401,16968890,10755591,
153144,Coe College,96775214,92881906,91285572,86070730,92903821,97148763,92841819,87482958,
217907,Coker University,29389343,29562891,29223521,26262989,27693301,28402745,24752013,23213408,
161086,Colby College,869927000,828013000,775129000,710659000,745957000,740631000,649992000,599557000,
182634,Colby-Sawyer College,39447403,37515346,36057802,35989146,38417755,38878181,33213094,28859180,
112446,Coleman University,,,,,,,,,
190080,Colgate Rochester Crozer Divinity School,18721357,20356794,20316228,20204029,21984476,22874182,20995594,20100698,
190099,Colgate University,934425860,923604266,881302522,821597248,892548824,865882401,760825400,687474010,
169442,College for Creative Studies,80340723,77958418,73381791,55101237,58363783,63380452,57716481,56052573,
439613,College of Biblical Studies,,,,,,,,,
388520,College of Biblical Studies-Houston,656713,658700,656713,655713,1444213,1443213,1442213,1441213,
